Contour #0
1652 795
1651 795
1653 795
1650 795
1649 794
1649 795
1648 795
1647 794
1646 794
1645 794
1644 794
1643 794
1642 794
1641 795
1640 795
1639 794
1638 794
1637 794
1636 793
1635 793
1634 793
1633 793
1632 793
1631 792
1630 792
1629 792
1628 791
1627 791
1627 792
1626 793
1625 792
1626 794
1624 792
1623 792
1622 791
1622 792
1621 791
1620 791
1626 795
1627 796
1627 797
1654 795
Contour #1
1662 785
1662 784
1663 785
1661 783
1662 783
1660 782
1661 782
1659 781
1660 781
1660 780
1660 779
1660 778
Contour #2
1727 731
1726 730
1727 730
1728 731
1728 732
1725 729
1726 729
1725 728
Contour #3
1747 719
1746 719
1747 720
1748 720
1745 718
1744 717
1743 716
1744 716
1743 715
1742 714
1743 714
1741 713
1742 713
1740 712
1741 712
1739 711
1740 711
1738 710
1739 710
1737 709
1738 709
1736 708
1737 708
1735 707
1736 707
1734 706
1735 706
1735 705
1735 704
1736 703
Contour #4
1772 1364
1771 1365
1772 1365
1770 1366
1771 1366
1770 1367
1769 1368
1770 1368
1768 1369
1769 1369
1768 1370
1767 1371
1768 1371
1767 1372
1766 1373
1767 1373
1765 1374
1766 1374
1764 1375
1765 1375
Contour #5
1795 1373
1794 1374
1795 1374
1794 1375
1794 1376
1794 1377
1794 1378
1794 1379
1794 1380
1793 1381
1794 1381
1792 1382
1793 1382
1792 1383
1791 1384
1792 1384
1790 1385
1791 1385
1789 1386
1790 1386
1788 1387
1789 1387
1788 1388
1787 1389
1788 1389
1786 1389
1786 1390
1785 1390
1784 1391
1785 1391
1783 1392
1784 1392
1782 1393
1783 1393
1781 1393
1780 1393
1779 1393
1779 1394
1778 1395
1779 1395
1778 1396
1778 1397
1778 1398
1777 1399
1776 1400
1777 1400
1775 1401
1776 1401
1774 1402
1775 1402
1773 1403
1774 1403
1773 1404
Contour #6
1805 1376
1804 1377
1805 1377
1806 1376
1803 1378
1804 1378
1802 1379
1803 1379
1801 1380
1802 1380
1801 1381
1800 1382
1801 1382
1799 1383
1800 1383
1798 1383
1798 1384
1797 1384
1796 1384
1796 1385
1795 1385
1794 1386
1795 1386
1793 1387
1794 1387
1793 1388
1792 1389
1793 1389
1791 1390
1792 1390
1790 1391
1791 1391
1790 1392
1789 1393
1790 1393
1788 1394
1789 1394
1787 1395
1788 1395
1786 1396
1787 1396
1785 1397
1786 1397
1785 1398
1784 1399
1785 1399
1783 1400
1784 1400
1782 1401
1783 1401
1782 1402
1781 1403
1782 1403
1780 1404
1781 1404
1779 1405
1780 1405
1778 1405
1778 1406
1777 1406
1776 1407
1777 1407
1775 1407
1775 1408
1774 1408
1773 1409
1774 1409
1772 1410
1773 1410
1771 1411
1772 1411
1773 1411
1772 1412
1773 1413
1772 1414
1772 1415
1772 1416
Contour #7
1830 1384
1830 1385
1831 1384
Contour #8
1835 684
1835 683
1836 684
1836 685
1834 682
1835 682
1834 681
1833 680
1834 680
1833 679
1833 678
1833 677
1832 676
1833 676
1832 675
1832 674
1831 673
1831 672
1831 671
1830 670
1830 669
1829 668
1828 667
1829 667
1828 666
1827 665
1827 664
1826 663
1826 662
1825 661
1826 661
1825 660
1825 659
1824 658
1824 657
1823 656
1824 656
1823 655
1822 654
1823 654
1822 653
1822 652
1821 651
1822 651
1821 650
1821 649
1821 648
1820 647
1820 646
1819 645
1818 644
1819 644
1817 643
1818 643
1817 642
1816 641
1817 641
1816 640
1816 639
1815 638
1816 638
1815 637
1815 636
1814 635
1814 634
1813 633
1813 632
1812 631
1812 630
1811 629
1811 628
1810 627
1810 626
1811 626
1810 625
1810 624
1809 623
1808 622
1808 621
1807 620
1806 619
1807 619
1806 618
1805 617
1806 617
1805 616
1804 615
1804 614
1803 613
1804 613
1803 612
1802 611
1803 611
1802 610
1802 609
1802 608
1801 607
1800 606
1801 606
1799 605
1800 605
1799 604
1798 603
1799 603
1797 602
1798 602
1797 601
1798 601
1797 600
1797 599
1796 598
1796 597
1795 596
1795 595
1794 594
1794 593
1793 592
1793 591
1793 590
1792 589
1793 589
1791 588
1792 588
1791 587
1791 586
1790 585
1791 585
